"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	18	55267	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	52	186717	27.8	22.9
	"Barbour County, AL"	"01005"	14	27119	Unreliable	Unreliable
	"Blount County, AL"	"01009"	14	57677	Unreliable	Unreliable
	"Butler County, AL"	"01013"	17	20650	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	43	117797	36.5	34.8
	"Chambers County, AL"	"01017"	34	33939	100.2	75.0
	"Cherokee County, AL"	"01019"	31	26057	119.0	106.5
	"Chilton County, AL"	"01021"	14	43895	Unreliable	Unreliable
	"Choctaw County, AL"	"01023"	11	13609	Unreliable	Unreliable
	"Clarke County, AL"	"01025"	16	25695	Unreliable	Unreliable
	"Coffee County, AL"	"01031"	34	50526	67.3	62.1
	"Colbert County, AL"	"01033"	20	54512	36.7	26.6
	"Covington County, AL"	"01039"	39	38058	102.5	68.3
	"Crenshaw County, AL"	"01041"	12	13911	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	40	80536	49.7	44.5
	"Dale County, AL"	"01045"	11	50044	Unreliable	Unreliable
	"Dallas County, AL"	"01047"	20	43332	46.2	43.5
	"DeKalb County, AL"	"01049"	29	71375	40.6	40.7
	"Elmore County, AL"	"01051"	35	80162	43.7	53.3
	"Escambia County, AL"	"01053"	22	38095	57.8	57.1
	"Etowah County, AL"	"01055"	62	104303	59.4	49.6
	"Fayette County, AL"	"01057"	13	17182	Unreliable	Unreliable
	"Geneva County, AL"	"01061"	36	26781	134.4	107.4
	"Henry County, AL"	"01067"	12	17412	Unreliable	Unreliable
	"Houston County, AL"	"01069"	45	102369	44.0	40.1
	"Jackson County, AL"	"01071"	23	53291	43.2	38.9
	"Jefferson County, AL"	"01073"	225	658931	34.1	29.5
	"Lamar County, AL"	"01075"	11	14311	Unreliable	Unreliable
	"Lauderdale County, AL"	"01077"	96	92781	103.5	78.5
	"Lawrence County, AL"	"01079"	14	34117	Unreliable	Unreliable
	"Lee County, AL"	"01081"	24	143468	16.7	26.9
	"Limestone County, AL"	"01083"	25	85369	29.3	34.4
	"Madison County, AL"	"01089"	94	340111	27.6	30.4
	"Marion County, AL"	"01093"	21	30663	68.5	51.4
	"Marshall County, AL"	"01095"	29	94166	30.8	29.1
	"Mobile County, AL"	"01097"	150	412577	36.4	36.7
	"Monroe County, AL"	"01099"	16	22760	Unreliable	Unreliable
	"Montgomery County, AL"	"01101"	96	232032	41.4	42.5
	"Morgan County, AL"	"01103"	35	119953	29.2	28.7
	"Pike County, AL"	"01109"	14	32915	Unreliable	Unreliable
	"Randolph County, AL"	"01111"	16	22787	Unreliable	Unreliable
	"Russell County, AL"	"01113"	23	54572	42.1	45.5
	"St. Clair County, AL"	"01115"	20	84398	23.7	28.6
	"Shelby County, AL"	"01117"	38	197936	19.2	25.8
	"Talladega County, AL"	"01121"	26	81664	31.8	31.7
	"Tallapoosa County, AL"	"01123"	13	41623	Unreliable	Unreliable
	"Tuscaloosa County, AL"	"01125"	43	197211	21.8	25.6
	"Walker County, AL"	"01127"	25	66661	37.5	32.6
	"Winston County, AL"	"01133"	14	24327	Unreliable	Unreliable
	"Anchorage Borough, AK"	"02020"	38	295570	12.9	27.3
	"Fairbanks North Star Borough, AK"	"02090"	13	99192	Unreliable	Unreliable
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing	Missing
	"Matanuska-Susitna Borough, AK"	"02170"	12	91946	Unreliable	Unreliable
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing	Missing
	"Cochise County, AZ"	"04003"	47	133289	35.3	29.0
	"Coconino County, AZ"	"04005"	23	134511	17.1	28.8
	"Gila County, AZ"	"04007"	30	53144	56.5	37.1
	"Maricopa County, AZ"	"04013"	2141	3880244	55.2	55.8
	"Mohave County, AZ"	"04015"	69	202351	34.1	23.4
	"Navajo County, AZ"	"04017"	23	107398	21.4	23.3
	"Pima County, AZ"	"04019"	273	989569	27.6	21.1
	"Pinal County, AZ"	"04021"	112	382992	29.2	33.9
	"Santa Cruz County, AZ"	"04023"	11	47676	Unreliable	Unreliable
	"Yavapai County, AZ"	"04025"	117	211888	55.2	30.0
	"Yuma County, AZ"	"04027"	27	200870	13.4	12.0
	"Arkansas County, AR"	"05001"	12	18892	Unreliable	Unreliable
	"Ashley County, AR"	"05003"	11	21692	Unreliable	Unreliable
	"Baxter County, AR"	"05005"	20	41536	48.2	21.8
	"Benton County, AR"	"05007"	36	227556	15.8	16.7
	"Boone County, AR"	"05009"	24	37051	64.8	45.2
	"Carroll County, AR"	"05015"	13	27512	Unreliable	Unreliable
	"Clark County, AR"	"05019"	19	22858	Unreliable	Unreliable
	"Cleburne County, AR"	"05023"	24	25901	92.7	52.3
	"Columbia County, AR"	"05027"	16	24401	Unreliable	Unreliable
	"Conway County, AR"	"05029"	14	21270	Unreliable	Unreliable
	"Craighead County, AR"	"05031"	59	98315	60.0	62.3
	"Crawford County, AR"	"05033"	40	61944	64.6	69.6
	"Crittenden County, AR"	"05035"	14	50525	Unreliable	Unreliable
	"Cross County, AR"	"05037"	11	17781	Unreliable	Unreliable
	"Faulkner County, AR"	"05045"	39	116342	33.5	45.5
	"Franklin County, AR"	"05047"	10	18047	Unreliable	Unreliable
	"Garland County, AR"	"05051"	44	97124	45.3	26.9
	"Greene County, AR"	"05055"	26	42720	60.9	60.1
	"Hempstead County, AR"	"05057"	13	22541	Unreliable	Unreliable
	"Hot Spring County, AR"	"05059"	12	32881	Unreliable	Unreliable
