"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	27	54135	49.9	59.9
	"Baldwin County, AL"	"01003"	67	179406	37.3	30.9
	"Barbour County, AL"	"01005"	15	27657	Unreliable	Unreliable
	"Bibb County, AL"	"01007"	13	22941	Unreliable	Unreliable
	"Blount County, AL"	"01009"	35	57341	61.0	58.0
	"Butler County, AL"	"01013"	19	20867	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	106	118363	89.6	84.0
	"Chambers County, AL"	"01017"	25	34384	72.7	59.7
	"Cherokee County, AL"	"01019"	28	25854	108.3	92.7
	"Chilton County, AL"	"01021"	43	43484	98.9	95.9
	"Clarke County, AL"	"01025"	23	26038	88.3	76.0
	"Clay County, AL"	"01027"	16	14006	Unreliable	Unreliable
	"Cleburne County, AL"	"01029"	16	14918	Unreliable	Unreliable
	"Coffee County, AL"	"01031"	23	49440	46.5	42.9
	"Colbert County, AL"	"01033"	36	54426	66.1	51.3
	"Conecuh County, AL"	"01035"	15	13274	Unreliable	Unreliable
	"Covington County, AL"	"01039"	37	37648	98.3	69.6
	"Crenshaw County, AL"	"01041"	16	14024	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	41	80351	51.0	45.8
	"Dale County, AL"	"01045"	25	49854	50.1	50.8
	"Dallas County, AL"	"01047"	28	43759	64.0	61.5
	"DeKalb County, AL"	"01049"	43	70864	60.7	59.4
	"Elmore County, AL"	"01051"	35	78632	44.5	49.3
	"Escambia County, AL"	"01053"	19	38249	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	139	104239	133.3	110.0
	"Fayette County, AL"	"01057"	23	17310	132.9	108.3
	"Franklin County, AL"	"01059"	28	31589	88.6	80.2
	"Geneva County, AL"	"01061"	10	26653	Unreliable	Unreliable
	"Houston County, AL"	"01069"	29	100500	28.9	26.8
	"Jackson County, AL"	"01071"	43	53461	80.4	72.8
	"Jefferson County, AL"	"01073"	410	658441	62.3	56.2
	"Lamar County, AL"	"01075"	21	14689	143.0	106.7
	"Lauderdale County, AL"	"01077"	77	92526	83.2	64.7
	"Lawrence County, AL"	"01079"	30	34315	87.4	86.7
	"Lee County, AL"	"01081"	30	138566	21.7	29.6
	"Limestone County, AL"	"01083"	25	81326	30.7	34.3
	"Lowndes County, AL"	"01085"	10	11486	Unreliable	Unreliable
	"Macon County, AL"	"01087"	27	21190	127.4	118.0
	"Madison County, AL"	"01089"	136	330856	41.1	44.6
	"Marengo County, AL"	"01091"	10	21170	Unreliable	Unreliable
	"Marion County, AL"	"01093"	22	30646	71.8	53.9
	"Marshall County, AL"	"01095"	45	92213	48.8	47.0
	"Mobile County, AL"	"01097"	206	411994	50.0	48.9
	"Monroe County, AL"	"01099"	14	23218	Unreliable	Unreliable
	"Montgomery County, AL"	"01101"	127	227607	55.8	57.0
	"Morgan County, AL"	"01103"	55	118954	46.2	43.1
	"Pickens County, AL"	"01107"	25	19814	126.2	98.9
	"Pike County, AL"	"01109"	23	32560	70.6	71.6
	"Randolph County, AL"	"01111"	14	22864	Unreliable	Unreliable
	"Russell County, AL"	"01113"	32	52162	61.3	60.6
	"St. Clair County, AL"	"01115"	57	83009	68.7	75.9
	"Shelby County, AL"	"01117"	69	192708	35.8	48.7
	"Talladega County, AL"	"01121"	68	82674	82.3	80.5
	"Tallapoosa County, AL"	"01123"	40	41831	95.6	78.6
	"Tuscaloosa County, AL"	"01125"	97	192792	50.3	58.7
	"Walker County, AL"	"01127"	57	67347	84.6	71.7
	"Winston County, AL"	"01133"	24	24691	97.2	85.7
	"Anchorage Borough, AK"	"02020"	71	287677	24.7	39.4
	"Bethel Census Area, AK"	"02050"	10	16860	Unreliable	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	28	95238	29.4	57.3
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing	Missing
	"Kenai Peninsula Borough, AK"	"02122"	10	54796	Unreliable	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	18	86885	Unreliable	Unreliable
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing	Missing
	"Apache County, AZ"	"04001"	57	71008	80.3	99.9
	"Cochise County, AZ"	"04003"	81	130081	62.3	55.4
	"Coconino County, AZ"	"04005"	51	133477	38.2	56.1
	"Gila County, AZ"	"04007"	31	53561	57.9	35.6
	"Graham County, AZ"	"04009"	26	37525	69.3	82.3
	"La Paz County, AZ"	"04012"	12	20514	Unreliable	Unreliable
	"Maricopa County, AZ"	"04013"	1202	3803779	31.6	33.1
	"Mohave County, AZ"	"04015"	105	199696	52.6	37.9
	"Navajo County, AZ"	"04017"	61	107571	56.7	67.3
	"Pima County, AZ"	"04019"	470	975580	48.2	40.4
	"Pinal County, AZ"	"04021"	93	349830	26.6	28.9
	"Santa Cruz County, AZ"	"04023"	16	47011	Unreliable	Unreliable
	"Yavapai County, AZ"	"04025"	169	211172	80.0	49.4
	"Yuma County, AZ"	"04027"	121	193714	62.5	57.8
	"Baxter County, AR"	"05005"	37	41561	89.0	45.2
	"Benton County, AR"	"05007"	86	216620	39.7	41.4
	"Boone County, AR"	"05009"	21	36844	57.0	41.8
	"Bradley County, AR"	"05011"	10	11538	Unreliable	Unreliable
	"Carroll County, AR"	"05015"	18	27158	Unreliable	Unreliable
	"Chicot County, AR"	"05017"	15	11851	Unreliable	Unreliable
	"Clark County, AR"	"05019"	22	23100	95.2	83.8
	"Clay County, AR"	"05021"	15	16056	Unreliable	Unreliable
	"Cleburne County, AR"	"05023"	26	25870	100.5	64.2
	"Columbia County, AR"	"05027"	21	24622	85.3	66.0
	"Conway County, AR"	"05029"	18	21257	Unreliable	Unreliable
	"Craighead County, AR"	"05031"	63	95482	66.0	68.4
	"Crawford County, AR"	"05033"	42	61595	68.2	70.1
	"Crittenden County, AR"	"05035"	24	50929	47.1	58.3
	"Cross County, AR"	"05037"	14	17971	Unreliable	Unreliable
	"Desha County, AR"	"05041"	11	13108	Unreliable	Unreliable
	"Drew County, AR"	"05043"	27	18495	146.0	131.3
	"Faulkner County, AR"	"05045"	67	110813	60.5	78.2
	"Franklin County, AR"	"05047"	20	18145	110.2	81.5
	"Fulton County, AR"	"05049"	11	12231	Unreliable	Unreliable
	"Garland County, AR"	"05051"	142	95840	148.2	92.4
	"Greene County, AR"	"05055"	42	41723	100.7	95.1
	"Hempstead County, AR"	"05057"	24	22615	106.1	91.4
	"Hot Spring County, AR"	"05059"	30	32797	91.5	76.2
	"Independence County, AR"	"05063"	48	36259	132.4	106.7
	"Izard County, AR"	"05065"	14	13679	Unreliable	Unreliable
	"Jackson County, AR"	"05067"	14	17945	Unreliable	Unreliable
	"Jefferson County, AR"	"05069"	45	77759	57.9	52.5
	"Johnson County, AR"	"05071"	12	25374	Unreliable	Unreliable
	"Lawrence County, AR"	"05075"	32	17336	184.6	127.2
	"Lee County, AR"	"05077"	10	10458	Unreliable	Unreliable
	"Lincoln County, AR"	"05079"	12	14185	Unreliable	Unreliable
	"Logan County, AR"	"05083"	11	22429	Unreliable	Unreliable
	"Lonoke County, AR"	"05085"	41	67481	60.8	71.5
	"Marion County, AR"	"05089"	10	16721	Unreliable	Unreliable
	"Miller County, AR"	"05091"	24	43284	55.4	51.3
	"Mississippi County, AR"	"05093"	36	46857	76.8	78.9
	"Montgomery County, AR"	"05097"	17	9490	Unreliable	Unreliable
	"Nevada County, AR"	"05099"	10	9058	Unreliable	Unreliable
	"Ouachita County, AR"	"05103"	21	26024	80.7	61.1
	"Perry County, AR"	"05105"	12	10443	Unreliable	Unreliable
	"Phillips County, AR"	"05107"	18	21976	Unreliable	Unreliable
	"Pike County, AR"	"05109"	11	11260	Unreliable	Unreliable
	"Poinsett County, AR"	"05111"	25	24632	101.5	91.5
	"Polk County, AR"	"05113"	13	20583	Unreliable	Unreliable
	"Pope County, AR"	"05115"	65	61302	106.0	108.8
	"Pulaski County, AR"	"05119"	190	380053	50.0	50.2
	"Randolph County, AR"	"05121"	36	17964	200.4	130.2
	"St. Francis County, AR"	"05123"	22	28336	77.6	80.6
	"Saline County, AR"	"05125"	56	105362	53.2	50.2
	"Sebastian County, AR"	"05131"	66	125116	52.8	49.4
	"Sevier County, AR"	"05133"	17	16812	Unreliable	Unreliable
	"Sharp County, AR"	"05135"	13	17373	Unreliable	Unreliable
	"Stone County, AR"	"05137"	10	12340	Unreliable	Unreliable
	"Union County, AR"	"05139"	33	41944	78.7	63.8
	"Van Buren County, AR"	"05141"	21	17293	121.4	67.4
	"Washington County, AR"	"05143"	89	199774	44.6	56.4
	"White County, AR"	"05145"	59	76284	77.3	72.7
