"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	21	55267	38.0	45.8
	"Baldwin County, AL"	"01003"	62	186717	33.2	27.5
	"Barbour County, AL"	"01005"	25	27119	92.2	89.0
	"Bibb County, AL"	"01007"	12	22766	Unreliable	Unreliable
	"Blount County, AL"	"01009"	42	57677	72.8	70.6
	"Butler County, AL"	"01013"	20	20650	96.9	69.3
	"Calhoun County, AL"	"01015"	86	117797	73.0	65.1
	"Chambers County, AL"	"01017"	16	33939	Unreliable	Unreliable
	"Cherokee County, AL"	"01019"	20	26057	76.8	63.1
	"Chilton County, AL"	"01021"	30	43895	68.3	65.4
	"Choctaw County, AL"	"01023"	13	13609	Unreliable	Unreliable
	"Clarke County, AL"	"01025"	18	25695	Unreliable	Unreliable
	"Clay County, AL"	"01027"	14	13862	Unreliable	Unreliable
	"Cleburne County, AL"	"01029"	11	14835	Unreliable	Unreliable
	"Coffee County, AL"	"01031"	27	50526	53.4	46.3
	"Colbert County, AL"	"01033"	44	54512	80.7	57.6
	"Conecuh County, AL"	"01035"	12	13105	Unreliable	Unreliable
	"Covington County, AL"	"01039"	26	38058	68.3	44.8
	"Crenshaw County, AL"	"01041"	11	13911	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	57	80536	70.8	60.8
	"Dale County, AL"	"01045"	16	50044	Unreliable	Unreliable
	"Dallas County, AL"	"01047"	19	43332	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	49	71375	68.7	67.0
	"Elmore County, AL"	"01051"	25	80162	31.2	33.7
	"Escambia County, AL"	"01053"	26	38095	68.3	61.5
	"Etowah County, AL"	"01055"	111	104303	106.4	88.2
	"Fayette County, AL"	"01057"	29	17182	168.8	123.8
	"Franklin County, AL"	"01059"	32	31884	100.4	86.5
	"Geneva County, AL"	"01061"	20	26781	74.7	57.0
	"Houston County, AL"	"01069"	27	102369	26.4	23.5
	"Jackson County, AL"	"01071"	35	53291	65.7	55.8
	"Jefferson County, AL"	"01073"	441	658931	66.9	59.2
	"Lauderdale County, AL"	"01077"	69	92781	74.4	56.2
	"Lawrence County, AL"	"01079"	24	34117	70.3	65.6
	"Lee County, AL"	"01081"	34	143468	23.7	33.3
	"Limestone County, AL"	"01083"	28	85369	32.8	36.8
	"Madison County, AL"	"01089"	137	340111	40.3	41.5
	"Marengo County, AL"	"01091"	17	20692	Unreliable	Unreliable
	"Marion County, AL"	"01093"	26	30663	84.8	56.9
	"Marshall County, AL"	"01095"	54	94166	57.3	52.0
	"Mobile County, AL"	"01097"	196	412577	47.5	46.2
	"Monroe County, AL"	"01099"	15	22760	Unreliable	Unreliable
	"Montgomery County, AL"	"01101"	113	232032	48.7	48.9
	"Morgan County, AL"	"01103"	63	119953	52.5	48.1
	"Pickens County, AL"	"01107"	24	19349	124.0	98.0
	"Pike County, AL"	"01109"	17	32915	Unreliable	Unreliable
	"Randolph County, AL"	"01111"	18	22787	Unreliable	Unreliable
	"Russell County, AL"	"01113"	39	54572	71.5	73.8
	"St. Clair County, AL"	"01115"	51	84398	60.4	64.3
	"Shelby County, AL"	"01117"	89	197936	45.0	52.6
	"Sumter County, AL"	"01119"	11	13478	Unreliable	Unreliable
	"Talladega County, AL"	"01121"	65	81664	79.6	73.9
	"Tallapoosa County, AL"	"01123"	31	41623	74.5	59.0
	"Tuscaloosa County, AL"	"01125"	86	197211	43.6	48.7
	"Walker County, AL"	"01127"	48	66661	72.0	58.0
	"Washington County, AL"	"01129"	15	17344	Unreliable	Unreliable
	"Winston County, AL"	"01133"	23	24327	94.5	74.5
	"Anchorage Borough, AK"	"02020"	78	295570	26.4	43.3
	"Fairbanks North Star Borough, AK"	"02090"	22	99192	22.2	43.3
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing	Missing
	"Kenai Peninsula Borough, AK"	"02122"	26	56293	46.2	51.9
	"Matanuska-Susitna Borough, AK"	"02170"	27	91946	29.4	48.9
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing	Missing
	"Apache County, AZ"	"04001"	58	72401	80.1	96.7
	"Cochise County, AZ"	"04003"	106	133289	79.5	63.3
	"Coconino County, AZ"	"04005"	37	134511	27.5	39.4
	"Gila County, AZ"	"04007"	41	53144	77.1	53.5
	"Graham County, AZ"	"04009"	19	37147	Unreliable	Unreliable
	"La Paz County, AZ"	"04012"	11	20419	Unreliable	Unreliable
	"Maricopa County, AZ"	"04013"	1250	3880244	32.2	32.2
	"Mohave County, AZ"	"04015"	140	202351	69.2	43.2
	"Navajo County, AZ"	"04017"	58	107398	54.0	56.1
	"Pima County, AZ"	"04019"	498	989569	50.3	41.0
	"Pinal County, AZ"	"04021"	127	382992	33.2	34.5
	"Santa Cruz County, AZ"	"04023"	18	47676	Unreliable	Unreliable
	"Yavapai County, AZ"	"04025"	151	211888	71.3	39.9
	"Yuma County, AZ"	"04027"	145	200870	72.2	64.1
	"Arkansas County, AR"	"05001"	16	18892	Unreliable	Unreliable
	"Ashley County, AR"	"05003"	13	21692	Unreliable	Unreliable
	"Baxter County, AR"	"05005"	42	41536	101.1	56.1
	"Benton County, AR"	"05007"	79	227556	34.7	35.4
	"Boone County, AR"	"05009"	18	37051	Unreliable	Unreliable
	"Carroll County, AR"	"05015"	20	27512	72.7	56.0
	"Chicot County, AR"	"05017"	12	11721	Unreliable	Unreliable
	"Clark County, AR"	"05019"	17	22858	Unreliable	Unreliable
	"Clay County, AR"	"05021"	17	15880	Unreliable	Unreliable
	"Cleburne County, AR"	"05023"	30	25901	115.8	70.5
	"Columbia County, AR"	"05027"	27	24401	110.7	84.3
	"Conway County, AR"	"05029"	14	21270	Unreliable	Unreliable
	"Craighead County, AR"	"05031"	65	98315	66.1	66.6
	"Crawford County, AR"	"05033"	44	61944	71.0	72.3
	"Crittenden County, AR"	"05035"	35	50525	69.3	78.4
	"Cross County, AR"	"05037"	22	17781	123.7	95.3
	"Desha County, AR"	"05041"	11	12763	Unreliable	Unreliable
	"Drew County, AR"	"05043"	19	18467	Unreliable	Unreliable
	"Faulkner County, AR"	"05045"	60	116342	51.6	64.1
	"Franklin County, AR"	"05047"	21	18047	116.4	82.6
	"Garland County, AR"	"05051"	149	97124	153.4	93.7
	"Grant County, AR"	"05053"	24	17988	133.4	119.4
	"Greene County, AR"	"05055"	33	42720	77.2	74.1
	"Hempstead County, AR"	"05057"	29	22541	128.7	108.5
	"Hot Spring County, AR"	"05059"	41	32881	124.7	104.0
	"Howard County, AR"	"05061"	11	13886	Unreliable	Unreliable
	"Independence County, AR"	"05063"	47	36861	127.5	104.8
	"Jackson County, AR"	"05067"	17	17866	Unreliable	Unreliable
	"Jefferson County, AR"	"05069"	54	76246	70.8	63.8
	"Johnson County, AR"	"05071"	16	25742	Unreliable	Unreliable
	"Lawrence County, AR"	"05075"	15	17178	Unreliable	Unreliable
	"Lincoln County, AR"	"05079"	10	14006	Unreliable	Unreliable
	"Little River County, AR"	"05081"	15	12996	Unreliable	Unreliable
	"Logan County, AR"	"05083"	13	22290	Unreliable	Unreliable
	"Lonoke County, AR"	"05085"	34	69341	49.0	58.4
	"Marion County, AR"	"05089"	11	16573	Unreliable	Unreliable
