"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	19	55601	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	134	218022	61.5	58.4
	"Bibb County, AL"	"01007"	17	22400	Unreliable	Unreliable
	"Blount County, AL"	"01009"	46	57840	79.5	72.8
	"Butler County, AL"	"01013"	14	19680	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	80	114277	70.0	63.9
	"Chambers County, AL"	"01017"	21	33615	62.5	57.1
	"Cherokee County, AL"	"01019"	23	26032	88.4	85.6
	"Chilton County, AL"	"01021"	39	44153	88.3	86.8
	"Choctaw County, AL"	"01023"	14	12841	Unreliable	Unreliable
	"Clarke County, AL"	"01025"	19	23920	Unreliable	Unreliable
	"Coffee County, AL"	"01031"	27	51909	52.0	51.1
	"Colbert County, AL"	"01033"	43	54762	78.5	69.3
	"Conecuh County, AL"	"01035"	11	12277	Unreliable	Unreliable
	"Covington County, AL"	"01039"	26	36986	70.3	59.6
	"Crenshaw County, AL"	"01041"	12	13824	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	77	83442	92.3	85.9
	"Dale County, AL"	"01045"	25	48956	51.1	47.4
	"Dallas County, AL"	"01047"	34	38310	88.7	84.4
	"DeKalb County, AL"	"01049"	49	71385	68.6	65.8
	"Elmore County, AL"	"01051"	36	81887	44.0	42.7
	"Escambia County, AL"	"01053"	28	36748	76.2	68.3
	"Etowah County, AL"	"01055"	69	102501	67.3	61.4
	"Fayette County, AL"	"01057"	11	16433	Unreliable	Unreliable
	"Franklin County, AL"	"01059"	26	31363	82.9	78.6
	"Geneva County, AL"	"01061"	29	26314	110.2	102.8
	"Hale County, AL"	"01065"	15	14726	Unreliable	Unreliable
	"Henry County, AL"	"01067"	12	17209	Unreliable	Unreliable
	"Houston County, AL"	"01069"	55	104722	52.5	51.6
	"Jackson County, AL"	"01071"	37	51736	71.5	56.5
	"Jefferson County, AL"	"01073"	482	659300	73.1	71.4
	"Lauderdale County, AL"	"01077"	78	92387	84.4	73.6
	"Lawrence County, AL"	"01079"	26	32957	78.9	74.2
	"Lee County, AL"	"01081"	67	163941	40.9	42.8
	"Limestone County, AL"	"01083"	46	96174	47.8	48.5
	"Macon County, AL"	"01087"	13	18439	Unreliable	Unreliable
	"Madison County, AL"	"01089"	162	366519	44.2	43.0
	"Marengo County, AL"	"01091"	17	19066	Unreliable	Unreliable
	"Marion County, AL"	"01093"	19	29763	Unreliable	Unreliable
	"Marshall County, AL"	"01095"	68	96109	70.8	66.4
	"Mobile County, AL"	"01097"	252	413757	60.9	58.2
	"Monroe County, AL"	"01099"	14	21067	Unreliable	Unreliable
	"Montgomery County, AL"	"01101"	96	225763	42.5	40.6
	"Morgan County, AL"	"01103"	75	119089	63.0	57.3
	"Pickens County, AL"	"01107"	24	19938	120.4	107.6
	"Pike County, AL"	"01109"	14	33338	Unreliable	Unreliable
	"Randolph County, AL"	"01111"	19	22725	Unreliable	Unreliable
	"Russell County, AL"	"01113"	43	57781	74.4	74.5
	"St. Clair County, AL"	"01115"	65	88690	73.3	73.1
	"Shelby County, AL"	"01117"	101	215707	46.8	44.3
	"Sumter County, AL"	"01119"	10	12691	Unreliable	Unreliable
	"Talladega County, AL"	"01121"	59	79828	73.9	72.0
	"Tallapoosa County, AL"	"01123"	33	40497	81.5	73.5
	"Tuscaloosa County, AL"	"01125"	96	208911	46.0	46.2
	"Walker County, AL"	"01127"	60	63711	94.2	88.7
	"Washington County, AL"	"01129"	15	16378	Unreliable	Unreliable
	"Winston County, AL"	"01133"	11	23660	Unreliable	Unreliable
	"Anchorage Borough, AK"	"02020"	175	291538	60.0	62.3
	"Bethel Census Area, AK"	"02050"	28	18216	153.7	239.6
	"Fairbanks North Star Borough, AK"	"02090"	54	98971	54.6	62.2
	"Juneau Borough, AK"	"02110"	18	32113	Unreliable	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	32	58533	54.7	47.6
	"Ketchikan Gateway Borough, AK"	"02130"	13	13918	Unreliable	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	78	107610	72.5	89.4
	"North Slope Borough, AK"	"02185"	10	9872	Unreliable	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	11	7671	Unreliable	Unreliable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	12	6422	Unreliable	Unreliable
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing	Missing
	"Apache County, AZ"	"04001"	109	71818	151.8	159.2
	"Cochise County, AZ"	"04003"	93	126770	73.4	63.5
	"Coconino County, AZ"	"04005"	121	142854	84.7	93.4
	"Gila County, AZ"	"04007"	53	53889	98.4	90.8
	"Graham County, AZ"	"04009"	25	38072	65.7	62.9
	"La Paz County, AZ"	"04012"	23	21098	109.0	132.5
	"Maricopa County, AZ"	"04013"	2983	4410824	67.6	64.1
	"Mohave County, AZ"	"04015"	172	209550	82.1	60.2
	"Navajo County, AZ"	"04017"	117	110445	105.9	110.0
	"Pima County, AZ"	"04019"	722	1039073	69.5	60.6
	"Pinal County, AZ"	"04021"	250	447138	55.9	51.4
	"Santa Cruz County, AZ"	"04023"	21	46511	45.2	48.0
	"Yavapai County, AZ"	"04025"	177	231993	76.3	60.2
	"Yuma County, AZ"	"04027"	95	212128	44.8	42.3
	"Arkansas County, AR"	"05001"	11	17769	Unreliable	Unreliable
	"Ashley County, AR"	"05003"	19	20046	Unreliable	Unreliable
	"Baxter County, AR"	"05005"	33	41619	79.3	57.8
	"Benton County, AR"	"05007"	107	272608	39.3	39.1
	"Boone County, AR"	"05009"	25	37480	66.7	63.7
	"Carroll County, AR"	"05015"	28	28223	99.2	87.0
	"Clark County, AR"	"05019"	11	22061	Unreliable	Unreliable
	"Clay County, AR"	"05021"	16	14847	Unreliable	Unreliable
	"Cleburne County, AR"	"05023"	26	24965	104.1	88.9
	"Columbia County, AR"	"05027"	10	23537	Unreliable	Unreliable
	"Conway County, AR"	"05029"	14	20891	Unreliable	Unreliable
	"Craighead County, AR"	"05031"	60	108558	55.3	54.6
	"Crawford County, AR"	"05033"	32	63406	50.5	47.3
	"Crittenden County, AR"	"05035"	42	48342	86.9	87.2
	"Cross County, AR"	"05037"	16	16676	Unreliable	Unreliable
	"Desha County, AR"	"05041"	10	11512	Unreliable	Unreliable
	"Drew County, AR"	"05043"	13	18328	Unreliable	Unreliable
	"Faulkner County, AR"	"05045"	81	124806	64.9	67.2
	"Franklin County, AR"	"05047"	10	17810	Unreliable	Unreliable
	"Garland County, AR"	"05051"	83	99154	83.7	68.0
	"Greene County, AR"	"05055"	33	45325	72.8	68.1
	"Hempstead County, AR"	"05057"	13	21741	Unreliable	Unreliable
	"Hot Spring County, AR"	"05059"	24	33701	71.2	63.2
	"Independence County, AR"	"05063"	20	37678	53.1	50.7
	"Izard County, AR"	"05065"	10	13593	Unreliable	Unreliable
	"Jackson County, AR"	"05067"	14	16811	Unreliable	Unreliable
	"Jefferson County, AR"	"05069"	52	68114	76.3	77.0
	"Johnson County, AR"	"05071"	19	26742	Unreliable	Unreliable
	"Lawrence County, AR"	"05075"	17	16434	Unreliable	Unreliable
	"Lincoln County, AR"	"05079"	18	13383	Unreliable	Unreliable
	"Little River County, AR"	"05081"	12	12326	Unreliable	Unreliable
	"Logan County, AR"	"05083"	20	21737	92.0	89.4
	"Lonoke County, AR"	"05085"	60	73657	81.5	80.6
	"Madison County, AR"	"05087"	11	16481	Unreliable	Unreliable
	"Marion County, AR"	"05089"	16	16722	Unreliable	Unreliable
	"Miller County, AR"	"05091"	25	43592	57.3	53.2
	"Mississippi County, AR"	"05093"	28	41239	67.9	68.7
	"Montgomery County, AR"	"05097"	10	8924	Unreliable	Unreliable
	"Newton County, AR"	"05101"	10	7805	Unreliable	Unreliable
	"Ouachita County, AR"	"05103"	14	23606	Unreliable	Unreliable
	"Phillips County, AR"	"05107"	15	18029	Unreliable	Unreliable
	"Pike County, AR"	"05109"	10	10673	Unreliable	Unreliable
	"Poinsett County, AR"	"05111"	25	23974	104.3	103.7
	"Polk County, AR"	"05113"	15	20049	Unreliable	Unreliable
	"Pope County, AR"	"05115"	35	64000	54.7	49.6
	"Pulaski County, AR"	"05119"	253	392680	64.4	60.5
	"Randolph County, AR"	"05121"	15	17948	Unreliable	Unreliable
	"St. Francis County, AR"	"05123"	18	25439	Unreliable	Unreliable
	"Saline County, AR"	"05125"	73	121421	60.1	57.6
	"Scott County, AR"	"05127"	14	10319	Unreliable	Unreliable
	"Searcy County, AR"	"05129"	11	7958	Unreliable	Unreliable
	"Sebastian County, AR"	"05131"	71	127753	55.6	54.8
	"Stone County, AR"	"05137"	11	12457	Unreliable	Unreliable
	"Union County, AR"	"05139"	34	39126	86.9	79.7
	"Van Buren County, AR"	"05141"	12	16603	Unreliable	Unreliable
	"Washington County, AR"	"05143"	69	236961	29.1	30.9
	"White County, AR"	"05145"	46	78727	58.4	52.4
	"Yell County, AR"	"05149"	19	21535	Unreliable	Unreliable
	"Alameda County, CA"	"06001"	592	1666753	35.5	33.3
	"Amador County, CA"	"06005"	32	39383	81.3	67.3
	"Butte County, CA"	"06007"	296	231256	128.0	107.1
	"Calaveras County, CA"	"06009"	33	45602	72.4	61.7
	"Colusa County, CA"	"06011"	26	21627	120.2	119.0
	"Contra Costa County, CA"	"06013"	472	1150215	41.0	37.7
	"Del Norte County, CA"	"06015"	17	27828	Unreliable	Unreliable
	"El Dorado County, CA"	"06017"	139	190678	72.9	61.6
	"Fresno County, CA"	"06019"	528	994400	53.1	54.5
	"Glenn County, CA"	"06021"	25	28047	89.1	82.0
	"Humboldt County, CA"	"06023"	136	136373	99.7	91.7
	"Imperial County, CA"	"06025"	120	181827	66.0	67.0
	"Inyo County, CA"	"06027"	21	17987	116.8	78.2
	"Kern County, CA"	"06029"	539	896764	60.1	63.4
	"Kings County, CA"	"06031"	67	151366	44.3	46.4
	"Lake County, CA"	"06033"	106	64382	164.6	124.1
	"Lassen County, CA"	"06035"	24	30802	77.9	68.6
	"Los Angeles County, CA"	"06037"	3187	10105518	31.5	29.7
	"Madera County, CA"	"06039"	93	157672	59.0	57.9
	"Marin County, CA"	"06041"	123	259666	47.4	34.2
	"Mariposa County, CA"	"06043"	17	17471	Unreliable	Unreliable
	"Mendocino County, CA"	"06045"	100	87606	114.1	98.8
	"Merced County, CA"	"06047"	153	274765	55.7	60.0
	"Monterey County, CA"	"06053"	236	435594	54.2	52.1
	"Napa County, CA"	"06055"	85	139417	61.0	45.9
	"Nevada County, CA"	"06057"	89	99696	89.3	62.9
	"Orange County, CA"	"06059"	1100	3185968	34.5	31.8
	"Placer County, CA"	"06061"	208	393149	52.9	43.3
	"Plumas County, CA"	"06063"	24	18804	127.6	132.7
	"Riverside County, CA"	"06065"	1253	2450758	51.1	49.2
	"Sacramento County, CA"	"06067"	879	1540975	57.0	53.2
	"San Benito County, CA"	"06069"	26	61537	42.3	40.7
	"San Bernardino County, CA"	"06071"	957	2171603	44.1	44.8
	"San Diego County, CA"	"06073"	1674	3343364	50.1	46.2
